"Video URL","User Channel URL","User Name","Comment Text","Number of Likes","Number of Replies","Comment Time","Replies"
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@M.Martin-wd6d","@M.Martin-wd6d","Cada logro comienza con la decisión de intentarlo y tú, Juan, en cada viaje no sólo lo logras sino que nos ayudas a vivir la aventura contigo. Gracias.","1","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@fernandomacias8816","@fernandomacias8816","Eres de los mejores  youtubers. Tu información. Tu forma de hablar. Lo cultural de lo que muestras y sobretodo  la forma tan poética y hasta algo graciosa de comentar y lo berraco de estar en esta clase de sitios te hacen uno de los mejores estando en mi top personal.","1","0","15 hours ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@neisaramos713","@neisaramos713","Videos como este, te hacen tan especial y único, que nadie puede igualarse! Debe haber sido, muy fuerte y difícil!","1","0","21 hours ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@josepujol6516","@josepujol6516","Juan....mis respetos hermano. Nadie más que tú es capaz de hacer un video con este y otras temáticas sin juzgar, sólo presenciar y transmitir lo que ves, hueles y sientes, y con un gran respeto por los lugareños que simplemente te abren las puertas de sus casas y de sus vidas, sin importar ni el idioma ni la religión. Qué bueno que tú sí dominas ese lenguaje universal de la empatía y la comprensión. Saludos.","1","0","15 hours ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@claverpineda78","@claverpineda78","Es muy interesante ver la realidad de una cultura bien diferente y audaz, a nosotros nos parece muy extraño todo este proceso de sentir el duelo por la partida de un ser querido, la india tiene una visión muy diferente, la reencarnación y su rueda de Samsara es de otro mundo.","49","2","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@MyRterry","@MyRterry","Usted se merese un Oscar..👏👏👍","15","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@MauroQuinn","@MauroQuinn","Como siempre PlanetaJuan mostrando cómo ser un influyente en redes sociales. Esto es contenido de calidad. Gracias por compartir.","14","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@alamichino","@alamichino","Cuando veo este tipo de culturas uno se da cuenta lo inmensamente distinta que pueden ser las sociedades alrededor del mundo. Uno se acostumbra tanto a lo que vemos al rededor de donde vivimos que vemos sumamente extraño este tipo de cosas... Y pensar que para ellos esa es su normalidad 😨❤️","1","0","12 hours ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@LanguascoLoterno","@LanguascoLoterno","Cualquiera que no sea de ese entorno curtural puede coger una infección o bacteria y enfermarse cuidate juan por hay,","28","1","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@gemansadenu739","@gemansadenu739","Juan tienes fortaleza mental, para soportar el ambiente muy contaminado, el estrés del entorno. Buen vídeo. Dios te bendiga.","2","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@anabeldiaz7561","@anabeldiaz7561","Admiro tú serenidad, tú valentía y sobre todo tú curiosidad por conocer y experimentar todas esas culturas. Mis respetos ❤","1","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@yoli631","@yoli631","Definitivamente, NO es para mí. Lo pensaría mil veces visitar o conocer la India, no es sólo el Taj Mahal 🤢🙄","39","4","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@estebanarangosierra","@estebanarangosierra","Este man se esfuerza mucho por hacer este contenido🙏, casi como estar en una playita  en el caribe ese destino.","2","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@Maryf-p2h","@Maryf-p2h","Hola! Recibe mi saludo desde Washington! Admiro tú valentía por hacer estos videos, desde esos lugares tan remotos, y que no debes ser tan escrupuloso, me imagino, como para caminar en ese lugar tan desagradable y que lo hiciste también en el templo de las ratas😮 y te atreviste a probar la comida tan sucia llena de moscas! Yo te deseo todo lo mejor y te mando muchísimas bendiciones, que no te vaya a suceder, nada negativo por allá eres admirable!!❤","1","0","16 hours ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@albertomontoya4471","@albertomontoya4471","Tanta vanidad del ser humano y cada vez más egoísta cuando al final volvemos de donde hemos venido de la nada . Eres un valiente  al ver la realidad en vivo y en directo","12","1","1 day ago",""
